timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-12-25T15:07:37,"MAE Imputer - Africa - Uganda, Mbarara - Batch Size 32",ac280a22-5c97-41c9-b20d-2997c278596a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.017654541000013,2.96107330298306e-08,4.219462906991583e-09,0.0687,0.0192,3.0,1.443251985416684e-08,2.068563421866672e-08,6.298880899999896e-07,6.650062440728231e-07,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:07:49,"XGBoost Models - Africa - Uganda, Mbarara - Batch Size 32",71350a59-c6fd-4856-844d-4d59c2d670c4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.95111275000002,1.821549621712038e-07,1.6633466053137246e-08,0.1035,0.0219,3.0,1.3484459647750061e-07,4.7656144906833314e-08,3.908387083333338e-06,4.090887824717672e-06,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:07:58,"MAE Imputer - Africa - Uganda, Mbarara - Batch Size 64",b111fff7-a0f4-47d1-b250-a24817c56364,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.84649141700001,6.331755553786179e-08,8.069537347696521e-09,0.1297,0.0018,3.0,5.8851760821472464e-08,2.3648878749999932e-09,1.3607869791666616e-06,1.422003627863134e-06,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:09,"XGBoost Models - Africa - Uganda, Mbarara - Batch Size 64",37997c25-614a-4bfe-a94a-035bad4558e3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.69564458299999,1.9188328252795488e-07,1.7940319635615085e-08,0.4483999999999999,0.0036,3.0,5.593841379166659e-07,7.5712465e-09,3.7424138191666616e-06,4.309369203583327e-06,Uganda,UGA,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:16,"MAE Imputer - Asia - Manila, Philippines - Batch Size 1",dbeb127e-67e6-4bf4-85cf-fcb757fc0fdf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.332300916000008,4.92293731157111e-08,7.774326231294822e-09,0.1204,0.0,3.0,3.115539496222263e-09,0.0,7.749743000000346e-08,8.061296949622573e-08,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:28,"XGBoost Models - Asia - Manila, Philippines - Batch Size 1",dda6b418-a922-4db2-b653-5f7454d128a0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.820034292000004,2.631762516489608e-06,2.432305153076503e-07,0.289,0.05,3.0,3.692904382255543e-07,1.0687302315277789e-07,3.8333407641666405e-06,4.309504225544972e-06,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:35,"MAE Imputer - Asia - Manila, Philippines - Batch Size 32",bc3b993a-5e26-4d3a-8426-79976e76d575,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.939854125000011,3.7736297776834537e-07,5.437621180089931e-08,0.0608999999999999,0.0,3.0,1.2297310739583546e-08,0.0,6.05633576666662e-07,6.179308874062456e-07,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:49,"XGBoost Models - Asia - Manila, Philippines - Batch Size 32",42f8b8d5-e18d-42df-a974-cb21df249b20,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,12.762831207999966,1.0996771348508422e-05,8.616247578057331e-07,8.368,0.14,3.0,1.298897967262662e-05,3.629654323944443e-07,4.655239166666642e-06,1.8007184271687704e-05,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:08:57,"MAE Imputer - Asia - Manila, Philippines - Batch Size 64",47f1ada6-5f83-4cb4-b965-d0c5bc3d906e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.871423917000016,1.225571230189618e-06,1.556987964455498e-07,1.0662,0.0971,3.0,4.928265041071773e-07,1.279953960034726e-07,1.3860477783333636e-06,2.0068696784440135e-06,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:09,"XGBoost Models - Asia - Manila, Philippines - Batch Size 64",4a377066-ae39-48ed-80cf-fee58533088c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.197292417000028,2.9421239248844046e-06,2.627531563271129e-07,0.3645,0.1047,3.0,4.966136831250012e-07,2.339175771875002e-07,4.087188958333361e-06,4.8177202186458625e-06,Philippines,PHL,,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:17,"MAE Imputer - Australia - Sydney, Australia - Batch Size 1",13de43e6-0807-492b-837a-3cbbfcb8aed8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.4104435840000065,1.0457273729529877e-07,1.6312870696858572e-08,0.6324000000000001,0.1033,3.0,1.7044146166671815e-08,9.283016959058342e-08,8.07111808333616e-08,1.905854965906169e-07,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:29,"XGBoost Models - Australia - Sydney, Australia - Batch Size 1",0c79349d-92b3-40dd-9025-0570de88df2c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.279439541999976,2.535093971280868e-06,2.247535404433195e-07,0.3298999999999999,0.1066,3.0,4.346442694826346e-07,2.3326094914705465e-07,3.952344340833302e-06,4.620249559462992e-06,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:36,"MAE Imputer - Australia - Sydney, Australia - Batch Size 32",c5a152be-0e50-4560-b262-3ea36a7e19ff,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.085056582999982,4.352445154383236e-07,6.14313393745729e-08,0.1479,0.1025,3.0,3.20300747536666e-08,1.117166564430547e-07,6.49493402500004e-07,7.932401336967252e-07,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:49,"XGBoost Models - Australia - Sydney, Australia - Batch Size 32",a50f3c83-be2b-4758-bf1f-80294fe0a595,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.945596082999998,3.1728528527011766e-06,2.6560858333528645e-07,0.6029,0.1017,3.0,9.262568111145868e-07,2.475569064072505e-07,4.608761666666699e-06,5.782575384188536e-06,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:09:58,"MAE Imputer - Australia - Sydney, Australia - Batch Size 64",c3525129-7d6d-4b26-a4ef-71c29bedf648,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,7.881735582999966,8.909834032431469e-07,1.1304406166135538e-07,0.3511,0.1026,3.0,1.560953580406078e-07,1.343902953029991e-07,1.3333459374999753e-06,1.6238315908435822e-06,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
2024-12-25T15:10:10,"XGBoost Models - Australia - Sydney, Australia - Batch Size 64",70683372-b465-4d11-b054-feadbb96cc71,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.073173875000009,2.4524439042823072e-06,2.2147614875073975e-07,0.20300000000000004,0.10170000000000001,3.0,2.691064565972211e-07,2.2369303318849996e-07,3.976818992499982e-06,4.469618482285703e-06,Australia,AUS,new south wales,,,macOS-14.4-arm64-arm-64bit,3.9.13,2.8.2,8,Apple M1,1,Apple M1,,,8.0,machine,N,1.0
